title,summary,image,published_on
New Arrivals: Spring 2025 Collection,Exciting new books in Computer Science and Engineering have arrived, including latest on AI and Machine Learning.,news/spring_arrivals.jpg,2025-03-01
Library Hours Extended for Exams,Library will remain open until 10 PM during exam season to support student preparation.,news/extended_hours.jpg,2025-02-15
Workshop on Research Databases,Join our free workshop on using JSTOR and PubMed for academic research on March 10.,news/workshop_databases.jpg,2025-02-28
Book Donation Drive Launched,Donate your used books to support underprivileged students; drop-off points available.,news/donation_drive.jpg,2025-02-20
E-Resources Access Update,Improved access to e-journals via VPN; tutorial session scheduled for next week.,news/e_resources_update.jpg,2025-03-05
Author Talk: Paulo Coelho,Renowned author discusses 'The Alchemist' and inspiration behind his works on April 5.,news/author_talk.jpg,2025-03-10
Competitive Exam Preparation Series,Weekly sessions on quantitative aptitude and GK starting March 1.,news/competitive_exams.jpg,2025-02-25
Rare Books Exhibition,Explore our collection of 19th-century manuscripts from ANU archives.,news/rare_books.jpg,2025-03-08
Digital Literacy Program for Faculty,Training on library's digital tools for research and teaching.,news/digital_literacy.jpg,2025-02-18
Student Book Club Meeting,Discuss 'To Kill a Mockingbird' this Friday; all welcome.,news/book_club.jpg,2025-03-03
Library App Update Available,New features include mobile search and reservation; download now.,news/app_update.jpg,2025-02-22
Inter-Library Loan Service Resumed,Access books from other universities; faster processing times.,news/inter_library.jpg,2025-03-02
Sustainability Reading List,Curated books on environmental geography and climate change.,news/sustainability.jpg,2025-02-27
Thesis Binding Workshop,Learn professional binding techniques for your dissertation on March 20.,news/thesis_binding.jpg,2025-03-12
Holiday Closure Notice,Library closed from April 10-15 for university holidays; plan ahead.,news/holiday_closure.jpg,2025-03-07
